length	total_percentage	start_percentage	around_start	offset_from_5	offset_from_3	corrected_offset_from_5	corrected_offset_from_3	sample
30	0.033	0.079	T	NA	NA	14	15	Osy63_panicle_Ribo_B1_R1
24	6.114	5.463	T	8	15	8	15	Osy63_panicle_Ribo_B1_R2
25	19.125	14.867	T	9	15	9	15	Osy63_panicle_Ribo_B1_R2
26	25.316	23.488	T	10	15	10	15	Osy63_panicle_Ribo_B1_R2
27	33.61	35.275	T	11	15	11	15	Osy63_panicle_Ribo_B1_R2
28	15.532	20.488	T	12	15	12	15	Osy63_panicle_Ribo_B1_R2
29	0.27	0.361	T	12	16	12	16	Osy63_panicle_Ribo_B1_R2
30	0.032	0.058	T	16	13	16	13	Osy63_panicle_Ribo_B1_R2
24	12.191	10.803	T	8	15	8	15	Osy63_root_Ribo_B1_R1
25	22.182	21.847	T	9	15	9	15	Osy63_root_Ribo_B1_R1
26	29.631	30.677	T	10	15	10	15	Osy63_root_Ribo_B1_R1
27	31.411	31.298	T	11	15	11	15	Osy63_root_Ribo_B1_R1
28	4.434	5.142	T	12	15	12	15	Osy63_root_Ribo_B1_R1
29	0.125	0.217	T	13	15	13	15	Osy63_root_Ribo_B1_R1
30	0.026	0.015	T	NA	NA	11	18	Osy63_root_Ribo_B1_R1
24	11.749	10.351	T	8	15	8	15	Osy63_root_Ribo_B1_R2
25	21.662	21.342	T	9	15	9	15	Osy63_root_Ribo_B1_R2
26	29.714	30.148	T	10	15	10	15	Osy63_root_Ribo_B1_R2
27	32.089	32.916	T	11	15	11	15	Osy63_root_Ribo_B1_R2
28	4.629	5.051	T	12	15	12	15	Osy63_root_Ribo_B1_R2
29	0.131	0.154	T	13	15	13	15	Osy63_root_Ribo_B1_R2
30	0.027	0.037	T	NA	NA	14	15	Osy63_root_Ribo_B1_R2
24	5.183	4.868	T	10	13	8	15	Osy63_root_Ribo_B2_R1
25	15.915	13.771	T	9	15	9	15	Osy63_root_Ribo_B2_R1
26	25.15	24.523	T	10	15	10	15	Osy63_root_Ribo_B2_R1
27	36.664	36.639	T	11	15	11	15	Osy63_root_Ribo_B2_R1
28	15.962	19.606	T	12	15	12	15	Osy63_root_Ribo_B2_R1
29	0.871	0.556	T	9	19	13	15	Osy63_root_Ribo_B2_R1
30	0.256	0.036	T	NA	NA	14	15	Osy63_root_Ribo_B2_R1
24	2.155	1.371	T	9	14	9	14	Ozs97_leaf_Ribo_B1_R1
25	7.198	4.64	T	9	15	9	15	Ozs97_leaf_Ribo_B1_R1
26	12.757	11.204	T	10	15	10	15	Ozs97_leaf_Ribo_B1_R1
27	23.824	23.065	T	11	15	11	15	Ozs97_leaf_Ribo_B1_R1
28	41.779	45.128	T	12	15	12	15	Ozs97_leaf_Ribo_B1_R1
29	10.952	13.748	T	12	16	12	16	Ozs97_leaf_Ribo_B1_R1
30	1.335	0.844	T	13	16	13	16	Ozs97_leaf_Ribo_B1_R1
24	1.678	0.938	T	12	11	8	15	Ozs97_leaf_Ribo_B1_R2
25	5.539	3.438	T	9	15	9	15	Ozs97_leaf_Ribo_B1_R2
26	10.486	9.018	T	10	15	10	15	Ozs97_leaf_Ribo_B1_R2
27	21.867	21.118	T	11	15	11	15	Ozs97_leaf_Ribo_B1_R2
28	41.325	41.555	T	12	15	12	15	Ozs97_leaf_Ribo_B1_R2
29	16.715	21.933	T	12	16	12	16	Ozs97_leaf_Ribo_B1_R2
30	2.39	1.999	T	13	16	13	16	Ozs97_leaf_Ribo_B1_R2
24	1.607	1.245	T	8	15	8	15	Ozs97_leaf_Ribo_B2_R1
25	6.56	3.68	T	9	15	9	15	Ozs97_leaf_Ribo_B2_R1
26	13.371	10.285	T	10	15	10	15	Ozs97_leaf_Ribo_B2_R1
27	25.787	22.706	T	11	15	11	15	Ozs97_leaf_Ribo_B2_R1
28	43.611	52.98	T	12	15	12	15	Ozs97_leaf_Ribo_B2_R1
29	8.523	8.214	T	12	16	12	16	Ozs97_leaf_Ribo_B2_R1
30	0.542	0.89	T	13	16	13	16	Ozs97_leaf_Ribo_B2_R1
24	3.769	4.061	T	11	12	8	15	Ozs97_panicle_Ribo_B1_R1
25	10.126	9.143	T	9	15	9	15	Ozs97_panicle_Ribo_B1_R1
26	22.229	20.132	T	10	15	10	15	Ozs97_panicle_Ribo_B1_R1
27	42.74	41.773	T	11	15	11	15	Ozs97_panicle_Ribo_B1_R1
28	20.682	24.343	T	12	15	12	15	Ozs97_panicle_Ribo_B1_R1
29	0.374	0.402	T	12	16	12	16	Ozs97_panicle_Ribo_B1_R1
30	0.081	0.146	T	14	15	14	15	Ozs97_panicle_Ribo_B1_R1
24	3.524	3.813	T	11	12	8	15	Ozs97_panicle_Ribo_B1_R2
25	9.742	8.955	T	9	15	9	15	Ozs97_panicle_Ribo_B1_R2
26	21.845	20.62	T	10	15	10	15	Ozs97_panicle_Ribo_B1_R2
27	43.132	41.071	T	11	15	11	15	Ozs97_panicle_Ribo_B1_R2
28	21.281	24.967	T	12	15	12	15	Ozs97_panicle_Ribo_B1_R2
29	0.389	0.452	T	12	16	12	16	Ozs97_panicle_Ribo_B1_R2
30	0.088	0.123	T	15	14	15	14	Ozs97_panicle_Ribo_B1_R2
24	13.395	15.236	T	8	15	8	15	Ozs97_root_Ribo_B1_R1
25	20.537	21.148	T	9	15	9	15	Ozs97_root_Ribo_B1_R1
26	34.618	34.282	T	11	14	11	14	Ozs97_root_Ribo_B1_R1
27	29.941	27.34	T	11	15	11	15	Ozs97_root_Ribo_B1_R1
28	1.301	1.773	T	12	15	12	15	Ozs97_root_Ribo_B1_R1
29	0.145	0.156	T	20	8	13	15	Ozs97_root_Ribo_B1_R1
30	0.064	0.066	T	NA	NA	14	15	Ozs97_root_Ribo_B1_R1
24	13.668	15.36	T	8	15	8	15	Ozs97_root_Ribo_B1_R2
25	21.002	21.867	T	9	15	9	15	Ozs97_root_Ribo_B1_R2
26	34.586	34.058	T	11	14	11	14	Ozs97_root_Ribo_B1_R2
27	29.295	26.929	T	11	15	11	15	Ozs97_root_Ribo_B1_R2
28	1.249	1.439	T	12	15	12	15	Ozs97_root_Ribo_B1_R2
29	0.133	0.286	T	NA	NA	13	15	Ozs97_root_Ribo_B1_R2
30	0.065	0.062	T	NA	NA	22	7	Ozs97_root_Ribo_B1_R2
24	5.948	5.34	T	9	14	9	14	Ozs97_root_Ribo_B2_R1
25	18.053	14.515	T	9	15	9	15	Ozs97_root_Ribo_B2_R1
26	26.748	26.441	T	10	15	10	15	Ozs97_root_Ribo_B2_R1
27	34.134	33.982	T	11	15	11	15	Ozs97_root_Ribo_B2_R1
28	14.475	19.247	T	12	15	12	15	Ozs97_root_Ribo_B2_R1
29	0.489	0.417	T	12	16	12	16	Ozs97_root_Ribo_B2_R1
30	0.153	0.058	T	NA	NA	14	15	Ozs97_root_Ribo_B2_R1
